wine_id,wine_name,wine_url,keywords,total_user_count
1135641,Alexander Valley Cabernet Sauvignon,https://www.seulementproduitsitaliens.be/eccellenze_internazionali/silver-oak/18024-silver-oak-alexander-valley-cabernet-sauvignon.html?codice=GHL172-2017,coffee,168
16778,Saint-Émilion Grand Cru (Premier Grand Cru Classé),https://www.seulementproduitsitaliens.be/spec_collezioni.php?CODICEWT=60FIG14B,coffee,166
1192720,Dom Ruinart Blanc de Blancs Brut Champagne,https://www.vino.com/fr/dettaglio/champagne-blanc-de-blancs-dom-ruinart-2010.html?utm_medium=aggregatore&utm_source=vivino&utm_term=ruinartblancdeblancsdomruinart2010&utm_country=be&st=be&cr=eur,cream,165
66294,Special Selection Cabernet Sauvignon,https://www.seulementproduitsitaliens.be/spec_collezioni.php?CODICEWT=80CVSSCS97B,coffee,162
16578,Cabernet Sauvignon,https://www.grandcruwijnen.nl/2018-joseph-phelps-cabernet-sauvignon-napa-valley,coffee,160
1153702,Saint-Émilion Grand Cru (Premier Grand Cru Classé),https://www.topwijnen.be/nl/product/wijnen/frankrijk/bordeaux/saint-emilion/saint-emilion-premier-gr-cru-classe-b/chateau-troplong-mondot/wn1023301/wn1023301,coffee,160
79814,Flor de Pingus,https://www.labuenavida.be/spaanse-wijn/dominio-de-pingus/flor-de-pingus/4648,coffee,158
1164702,R.D Extra Brut Champagne (Récemment Dégorgé),https://www.seulementproduitsitaliens.be/eccellenze_internazionali/bollinger/12495-bollinger-rd-extra-brut-champagne-(recemment-degorge)-.html?codice=MRG596-2008,cream,157
1173806,Capellanía Reserva,https://www.seulementproduitsitaliens.be/eccellenze_internazionali/marques-de-murrieta/15837-marques-de-murrieta-cappellania-blanco-reserva.html?codice=SGN116-2017,citrus,157
1688,Castello della Sala Cervaro della Sala,https://www.seulementproduitsitaliens.be/vino/antinori-tenuta-castello-della-sala/143-antinori-castello-della-sala-cervaro-della-sala.html?codice=ANT009-2021,toast,156
22721,Flaccianello della Pieve,https://www.grandcruwijnen.nl/2019-fontodi-flaccianello-della-pieve,coffee,156
66284,Cabernet Sauvignon,https://www.wereldwijnonline.be/caymus-cabernet-sauvignon-napa-usa-rode-141629936.html,toast,156
1168278,Margaux (Grand Cru Classé),https://www.topwijnen.be/nl/product/wijnen/frankrijk/bordeaux/medoc/margaux/chateau-d-issan/wn1004955/wn1004955,coffee,154
9958,Dominus (Christian Moueix),https://www.seulementproduitsitaliens.be/vino/dominus/30311-dominus-dominus-(christian-moueix).html?codice=SGN167,coffee,152
13759,Clos Apalta,https://www.wijnig.nl/clos-apalta-clos-apalta-2017.html,coffee,152
15617,Blanc de Blancs Brut Champagne Grand Cru,https://www.grandcruwijnen.nl/champagne-billecart-salmon-blanc-de-blancs-grand-cru,citrus,152
1174845,Sauternes (Premier Grand Cru Classé),https://www.topwijnen.be/nl/product/wijnen/frankrijk/bordeaux/graves-moelleux/sauternes/chateau-suduiraut/WN109565/WN109565,cream,151
1164702,R.D Extra Brut Champagne (Récemment Dégorgé),https://www.seulementproduitsitaliens.be/eccellenze_internazionali/bollinger/12495-bollinger-rd-extra-brut-champagne-(recemment-degorge)-.html?codice=MRG596-2008,citrus,149
1441099,Blanc des Millénaires,https://www.seulementproduitsitaliens.be/eccellenze_internazionali/charles-heidsieck/11470-charles-heidsieck-blanc-des-millenaires-blanc-de-blancs-.html?codice=PHL112,cream,149
1684223,Pauillac (Premier Grand Cru Classé),https://www.seulementproduitsitaliens.be/spec_collezioni.php?CODICEWT=60MRO74B,toast,146
74300,Blanc de Blancs Brut Champagne (Vintage),https://www.seulementproduitsitaliens.be/eccellenze_internazionali/louis-roederer/12025-louis-roederer-blanc-de-blancs-brut-champagne-.html?codice=SGN115,citrus,143
2114480,Brut Rosé Champagne,https://www.seulementproduitsitaliens.be/eccellenze_internazionali/dom-perignon/11486-dom-perignon-brut-rose-champagne-.html?codice=ZPP010,cream,141
3102815,P2 Plénitude Brut Champagne,http://www.vivino.com/wines/162494158,citrus,141
1675,Pian delle Vigne Brunello di Montalcino,https://www.wereldwijnonline.be/pian-delle-vigne-brunello-di-montalcino-2013-tosca.html,coffee,140
1172486,Saint-Émilion Grand Cru,https://www.seulementproduitsitaliens.be/spec_collezioni.php?CODICEWT=60TERO98B,coffee,138
1175427,Valbuena 5º,https://www.grandcruwijnen.nl/2018-vega-sicilia-valbuena-5,toast,138
1383553,Roda I Reserva Rioja,https://www.wijnig.nl/bodegas-roda-roda-i-reserva-rioja-2017.html,coffee,138
25474,Aconcagua Valley,https://www.topwijnen.be/nl/product/wijnen/chili/wn743038/wn743038,coffee,136
1238419,Grand Siècle Champagne (Grande Cuvée),https://www.seulementproduitsitaliens.be/eccellenze_internazionali/laurent-perrier-/11518-laurent-perrier--grand-siecle-champagne-(grande-cuvee).html?codice=LPR003,green apple,136
3102815,P2 Plénitude Brut Champagne,http://www.vivino.com/wines/162494158,cream,135
3908,Pauillac (Premier Grand Cru Classé),https://hermanwines.com/products/lafite-rothschild-pauillac-2019-r-0-75l,coffee,134
66104,Barbaresco,https://www.seulementproduitsitaliens.be/spec_collezioni.php?CODICEWT=00GJBA95B,coffee,134
79835,Cuvée Nicolas François Billecart Brut Champagne,https://www.seulementproduitsitaliens.be/spec_collezioni.php?CODICE=1700643,cream,134
1135215,Sauternes (Premier Grand Cru Classé),https://www.douchywebshop.com/wijnen/witte-wijnen/chateau-rieussec-sauternes-2009,citrus,134
1179539,Saint-Émilion Grand Cru (Premier Grand Cru Classé),https://www.topwijnen.be/nl/product/wijnen/frankrijk/bordeaux/saint-emilion/saint-emilion-premier-gr-cru-classe-a/chateau-pavie/wn1021771/wn1021771,coffee,134
1174845,Sauternes (Premier Grand Cru Classé),https://www.topwijnen.be/nl/product/wijnen/frankrijk/bordeaux/graves-moelleux/sauternes/chateau-suduiraut/WN109565/WN109565,citrus,133
82779,Corton-Charlemagne Grand Cru,https://www.seulementproduitsitaliens.be/spec_collezioni.php?CODICEWT=50BMCC14B,cream,132
1167182,MV,https://www.vinetiq.eu/nl-be/onze-wijnen/frankrijk/champagne/ay/champagne-henri-giraud-mv-2016-millesime-grand-cru-half-wooden-case.html,citrus,131
1173806,Capellanía Reserva,https://www.seulementproduitsitaliens.be/eccellenze_internazionali/marques-de-murrieta/15837-marques-de-murrieta-cappellania-blanco-reserva.html?codice=SGN116-2017,cream,131
1268,St. Henri Shiraz,https://www.wijnig.nl/penfolds-st-henri-shiraz-2018.html,coffee,130
9712,Tenuta Nuova Brunello di Montalcino,https://www.seulementproduitsitaliens.be/vino/casanova-di-neri/7173-casanova-di-neri-tenuta-nuova.html?codice=PRD700-2017,coffee,130
79632,Rosé,https://www.wijnig.nl/krug-brut-rose-champagne-edition-24-nv-giftbox-075.html,toast,130
1958101,Vin de Constance (Natural Sweet),https://www.topwijnen.be/nl/product/wijnen/zuid-afrika/wn740691/wn740691,citrus,129
1926899,Mendoza,https://www.topwijnen.be/nl/product/wijnen/argentinie/wn7453360/wn7453360,coffee,128
1692390,Sir Winston Churchill Brut Champagne,https://www.seulementproduitsitaliens.be/spec_collezioni.php?CODICEWT=40POWI08B,green apple,127
